swap_count,mean_opinion_percent,mean_majority_opinion_percent,mean_minority_opinion_percent,mean_misp,std_opinion_percent,std_majority_opinion_percent,std_minority_opinion_percent
146,19.601254482486198,9.12303848075962,40.49494267754579,47.065412184180474,0.9693585210755323,1.3015908257926307,0.8532463160048657
147,19.608630519300053,9.14567716141929,40.47188481974492,47.05803614736662,0.9743984037398106,1.310826549049014,0.8443791213203622
148,19.616483066046428,9.16974012993503,40.44741359134641,47.050183600620244,0.9798263629997217,1.3211488556244173,0.8399054872182289
149,19.62540028857966,9.19302848575712,40.42767460199226,47.041266378087016,0.9835191928995021,1.3270591389027713,0.8328215658815273
150,19.635112541472857,9.222538730634682,40.39790942176693,47.031554125193814,0.9875933005156715,1.3321604754326004,0.8294694709372823
151,19.64532822254632,9.2547976011994,40.364170719004555,47.02133844412035,0.9890554608971953,1.3326469534297292,0.8260379667070987
152,19.654761165895472,9.283708145927037,40.334765091940326,47.0119055007712,0.9905393539119504,1.3334483486361197,0.8198333698427409
153,19.664062998568888,9.311169415292351,40.307856790371794,47.002603668097784,0.9930921135933576,1.3385348597945523,0.8144922968716004
154,19.67425368751409,9.339305347326336,40.28226444968487,46.99241297915258,0.9955348663780105,1.3412521825586816,0.8123722917841745
155,19.68398025983275,9.367066466766616,40.256029919060424,46.98268640683392,0.9959051323289753,1.3435364327331736,0.8074411695937671
156,19.69265665667973,9.396301849075462,40.22371145268105,46.97401000998694,0.9968924497373747,1.343529299179776,0.8056544908845534
157,19.69998235361979,9.42013993003498,40.19811125813322,46.96668431304688,0.9973680010650463,1.344804270832198,0.8023537669438222
158,19.708450889883093,9.449050474762618,40.16581818470416,46.958215776783575,0.9978230175581049,1.3450480540927205,0.7998771479492885
159,19.716483317566926,9.47231384307846,40.1434799343613,46.950183349099746,0.9983982946779739,1.3439123838552112,0.8044746889771398
160,19.72472234262435,9.495702148925535,40.12151111209564,46.941944324042325,0.9981899882429253,1.3422184236612198,0.8035516557016853
161,19.731599862081865,9.516641679160418,40.10034881365577,46.93506680458481,0.9985160243043514,1.3432989751913813,0.8001061586298682
162,19.738518406933935,9.532758620689654,40.08892564537312,46.92814825973274,0.9984660083279461,1.3448233145993835,0.8015959008883405
163,19.744410322164214,9.553473263368314,40.065260864553636,46.92225634450246,1.0004747709529889,1.3439606600219922,0.793734409943419
164,19.75004790711382,9.57246376811594,40.044272567510795,46.91661875955285,1.00123839376377,1.3452225137435867,0.7933274450058215
165,19.755567563056804,9.589130434782607,40.027564950573606,46.91109910360987,1.0021738478695261,1.3494558099968001,0.7921015331621554
166,19.76035926137201,9.606321839080458,40.00763148665996,46.90630740529466,1.0032477299763747,1.3531330985717014,0.7897974205794791
167,19.76519153110755,9.619490254872563,39.99584138132463,46.901475135559124,1.003621869000383,1.3548504276906974,0.7916948698911409
168,19.770629746457896,9.633608195902049,39.983972119721955,46.89603692020877,1.005695197839895,1.3581831694171194,0.7967049135632583
169,19.77464700291681,9.646351824087954,39.9705888864498,46.89201966374986,1.0064871134983755,1.3592612667496695,0.7989105300174857
170,19.778111904288025,9.655622188905546,39.962477624182426,46.88855476237865,1.00640663133154,1.360330322491219,0.7991170963427824
171,19.779472718517006,9.66414292853573,39.94956146141379,46.887193948149665,1.006240762184868,1.3620760292482832,0.8061139134181032
172,19.78141122183713,9.67231384307846,39.93907246211639,46.88525544482954,1.0066601246476865,1.3640126948586682,0.8026264117850838
173,19.78318920938707,9.677386306846577,39.934281224632485,46.8834774572796,1.0052648885781852,1.3625670153634373,0.8035777066376505
174,19.78530544150393,9.682833583208394,39.929755314632146,46.88136122516274,1.005601601191962,1.3629350362596002,0.8046046250523547
175,19.786935518765585,9.687856071964017,39.924620882747156,46.87973114790108,1.0061052491571068,1.3651428969039285,0.8027027870904107
176,19.78831699034484,9.692078960519739,39.920336534846385,46.87834967632183,1.0065270222980032,1.3669271057887584,0.8028446801993754
